date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:34:55.579125+05:30,24819.95,24823.2,24819.85,24822.8,24822.8,,
2025-09-04,2025-09-04 11:34:56.079161+05:30,24819.95,24823.2,24819.85,24823.15,24823.15,,
2025-09-04,2025-09-04 11:34:56.578967+05:30,24819.95,24823.2,24819.85,24823.05,24823.05,,
2025-09-04,2025-09-04 11:34:57.079169+05:30,24819.95,24823.2,24819.85,24822.75,24822.75,,
2025-09-04,2025-09-04 11:34:57.578954+05:30,24819.95,24823.2,24819.85,24822.7,24822.7,,
2025-09-04,2025-09-04 11:34:58.078963+05:30,24819.95,24823.2,24819.85,24822.6,24822.6,,
2025-09-04,2025-09-04 11:34:58.579012+05:30,24819.95,24823.2,24819.85,24822.65,24822.65,,
2025-09-04,2025-09-04 11:34:59.078970+05:30,24819.95,24823.2,24819.85,24823.05,24823.05,,
2025-09-04,2025-09-04 11:34:59.579039+05:30,24819.95,24823.2,24819.85,24822.55,24822.55,,
2025-09-04,2025-09-04 11:35:00.078879+05:30,24822.4,24822.4,24822.4,24822.4,24822.4,,
2025-09-04,2025-09-04 11:35:00.578887+05:30,24822.4,24823.05,24822.4,24823.05,24823.05,,
2025-09-04,2025-09-04 11:35:01.079194+05:30,24822.4,24823.05,24822.4,24822.6,24822.6,,
2025-09-04,2025-09-04 11:35:01.579270+05:30,24822.4,24823.05,24822.3,24822.3,24822.3,,
2025-09-04,2025-09-04 11:35:02.079411+05:30,24822.4,24823.05,24822.3,24822.4,24822.4,,
2025-09-04,2025-09-04 11:35:02.579279+05:30,24822.4,24823.05,24822.3,24823.05,24823.05,,
2025-09-04,2025-09-04 11:35:03.078937+05:30,24822.4,24823.05,24822.3,24822.6,24822.6,,
2025-09-04,2025-09-04 11:35:03.578972+05:30,24822.4,24823.05,24821.9,24821.9,24821.9,,
2025-09-04,2025-09-04 11:35:04.079037+05:30,24822.4,24823.05,24821.9,24822.15,24822.15,,
2025-09-04,2025-09-04 11:35:04.578814+05:30,24822.4,24823.05,24821.9,24821.9,24821.9,,
2025-09-04,2025-09-04 11:35:05.083834+05:30,24822.4,24823.05,24821.15,24821.15,24821.15,,
2025-09-04,2025-09-04 11:35:05.578837+05:30,24822.4,24823.05,24821.15,24821.2,24821.2,,
2025-09-04,2025-09-04 11:35:06.078906+05:30,24822.4,24823.05,24821.15,24821.3,24821.3,,
2025-09-04,2025-09-04 11:35:06.578819+05:30,24822.4,24823.05,24821.15,24821.3,24821.3,,
2025-09-04,2025-09-04 11:35:07.079013+05:30,24822.4,24823.05,24821.15,24821.75,24821.75,,
2025-09-04,2025-09-04 11:35:07.579068+05:30,24822.4,24823.05,24821.15,24821.4,24821.4,,
2025-09-04,2025-09-04 11:35:08.079026+05:30,24822.4,24823.05,24821.15,24821.15,24821.15,,
2025-09-04,2025-09-04 11:35:08.578939+05:30,24822.4,24823.05,24821.15,24821.3,24821.3,,
2025-09-04,2025-09-04 11:35:09.079252+05:30,24822.4,24823.05,24821.15,24821.8,24821.8,,
2025-09-04,2025-09-04 11:35:09.578799+05:30,24822.4,24823.05,24821.15,24821.75,24821.75,,
2025-09-04,2025-09-04 11:35:10.079312+05:30,24822.4,24823.05,24821.15,24821.5,24821.5,,
2025-09-04,2025-09-04 11:35:10.585793+05:30,24822.4,24823.05,24821.15,24821.15,24821.15,,
2025-09-04,2025-09-04 11:35:11.079637+05:30,24822.4,24823.05,24820.7,24820.7,24820.7,,
2025-09-04,2025-09-04 11:35:11.578730+05:30,24822.4,24823.05,24820.55,24820.55,24820.55,,
2025-09-04,2025-09-04 11:35:12.078696+05:30,24822.4,24823.05,24819.7,24819.7,24819.7,,
2025-09-04,2025-09-04 11:35:12.578706+05:30,24822.4,24823.05,24819.05,24819.05,24819.05,,
2025-09-04,2025-09-04 11:35:13.078940+05:30,24822.4,24823.05,24819.05,24819.5,24819.5,,
2025-09-04,2025-09-04 11:35:13.578741+05:30,24822.4,24823.05,24819.05,24819.45,24819.45,,
2025-09-04,2025-09-04 11:35:14.079158+05:30,24822.4,24823.05,24819.05,24819.45,24819.45,,
2025-09-04,2025-09-04 11:35:14.578643+05:30,24822.4,24823.05,24819.05,24819.5,24819.5,,
2025-09-04,2025-09-04 11:35:15.078774+05:30,24822.4,24823.05,24819.05,24819.85,24819.85,,
2025-09-04,2025-09-04 11:35:15.578643+05:30,24822.4,24823.05,24819.05,24819.95,24819.95,,
2025-09-04,2025-09-04 11:35:16.080505+05:30,24822.4,24823.05,24819.05,24819.85,24819.85,,
2025-09-04,2025-09-04 11:35:16.578651+05:30,24822.4,24823.05,24819.05,24819.35,24819.35,,
2025-09-04,2025-09-04 11:35:17.078622+05:30,24822.4,24823.05,24819.05,24820.1,24820.1,,
2025-09-04,2025-09-04 11:35:17.579162+05:30,24822.4,24823.05,24819.05,24819.75,24819.75,,
2025-09-04,2025-09-04 11:35:18.079608+05:30,24822.4,24823.05,24819.05,24819.35,24819.35,,
2025-09-04,2025-09-04 11:35:18.578824+05:30,24822.4,24823.05,24819.05,24820.1,24820.1,,
2025-09-04,2025-09-04 11:35:19.078630+05:30,24822.4,24823.05,24819.05,24820.6,24820.6,,
2025-09-04,2025-09-04 11:35:19.578644+05:30,24822.4,24823.05,24819.05,24820.2,24820.2,,
2025-09-04,2025-09-04 11:35:20.078932+05:30,24822.4,24823.05,24819.05,24819.65,24819.65,,
2025-09-04,2025-09-04 11:35:20.578623+05:30,24822.4,24823.05,24819.05,24819.8,24819.8,,
2025-09-04,2025-09-04 11:35:21.078821+05:30,24822.4,24823.05,24819.05,24819.05,24819.05,,
2025-09-04,2025-09-04 11:35:21.328470+05:30,24822.4,24823.05,24819.05,24819.45,24819.45,,
2025-09-04,2025-09-04 11:35:22.079115+05:30,24822.4,24823.05,24818.75,24818.75,24818.75,,
2025-09-04,2025-09-04 11:35:22.580576+05:30,24822.4,24823.05,24818.75,24818.75,24818.75,,
2025-09-04,2025-09-04 11:35:23.079318+05:30,24822.4,24823.05,24818.75,24819.05,24819.05,,
2025-09-04,2025-09-04 11:35:23.578899+05:30,24822.4,24823.05,24818.75,24818.8,24818.8,,
2025-09-04,2025-09-04 11:35:24.078452+05:30,24822.4,24823.05,24818.75,24818.75,24818.75,,
2025-09-04,2025-09-04 11:35:24.578772+05:30,24822.4,24823.05,24818.75,24818.8,24818.8,,
2025-09-04,2025-09-04 11:35:25.078583+05:30,24822.4,24823.05,24818.6,24818.6,24818.6,,
