ha_time,ha_color,ha_open,ha_high,ha_low,ha_close,underlying_open,underlying_high,underlying_low,underlying_close,cal1,form1,form2,named_levels,used_formula,triggered,reached_named_levels,reached_named_values,note,chosen_trigger_level,chosen_trigger_value,strike,side,symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:43:00+05:30,GREEN,24781.263542389497,24783.2,24779.5,24781.425000000003,24781.263542389497,24783.2,24779.5,24781.425000000003,0.16145761050574947,0.5074382044466412,,"{'entryA': 24781.263542389497, 'entryB': 24782.692561795553}",form1,True,"entryA,entryB","24781.264,24782.693",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24781.263542389497,24600.0,CE,,,,,,,,
2025-09-05 09:43:00+05:30,GREEN,24781.263542389497,24783.2,24779.5,24781.425000000003,24781.263542389497,24783.2,24779.5,24781.425000000003,0.16145761050574947,0.5074382044466412,,"{'entryA': 24781.263542389497, 'entryB': 24782.692561795553}",form1,True,"entryA,entryB","24781.264,24782.693",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24781.263542389497,24700.0,CE,,,,,,,,
2025-09-05 09:43:00+05:30,GREEN,24781.263542389497,24783.2,24779.5,24781.425000000003,24781.263542389497,24783.2,24779.5,24781.425000000003,0.16145761050574947,0.5074382044466412,,"{'entryA': 24781.263542389497, 'entryB': 24782.692561795553}",form1,True,"entryA,entryB","24781.264,24782.693",,entryA,24781.263542389497,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:44:00+05:30,82.3,2025-09-05 09:45:00+05:30,80.65,STOP,-1.0,-50.0
2025-09-05 09:43:00+05:30,GREEN,24781.263542389497,24783.2,24779.5,24781.425000000003,24781.263542389497,24783.2,24779.5,24781.425000000003,0.16145761050574947,0.5074382044466412,,"{'entryA': 24781.263542389497, 'entryB': 24782.692561795553}",form1,True,"entryA,entryB","24781.264,24782.693",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24781.263542389497,24900.0,CE,,,,,,,,
2025-09-05 09:43:00+05:30,GREEN,24781.263542389497,24783.2,24779.5,24781.425000000003,24781.263542389497,24783.2,24779.5,24781.425000000003,0.16145761050574947,0.5074382044466412,,"{'entryA': 24781.263542389497, 'entryB': 24782.692561795553}",form1,True,"entryA,entryB","24781.264,24782.693",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24781.263542389497,25000.0,CE,,,,,,,,
2025-09-05 09:44:00+05:30,RED,24781.34427119475,24783.0,24777.45,24780.45,24781.34427119475,24783.0,24777.45,24780.45,-0.894271194749308,-2.8105666120692536,,"{'entryA': 24781.34427119475, 'entryB': 24785.81056661207}",form1,True,entryA,24781.344,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:45:00+05:30,RED,24780.897135597374,24780.897135597374,24773.3,24776.275,24780.897135597374,24780.897135597374,24773.3,24776.275,-4.622135597372107,-14.526711877455195,,"{'entryA': 24780.897135597374, 'entryB': 24795.423847474827}",form1,True,entryA,24780.897,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:46:00+05:30,GREEN,24778.58606779869,24786.15,24772.65,24779.6,24778.58606779869,24786.15,24772.65,24779.6,1.013932201309217,3.186644061257539,,"{'entryA': 24778.58606779869, 'entryB': 24782.963355938744}",form1,True,"entryA,entryB","24778.586,24782.963",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24778.58606779869,24600.0,CE,,,,,,,,
2025-09-05 09:46:00+05:30,GREEN,24778.58606779869,24786.15,24772.65,24779.6,24778.58606779869,24786.15,24772.65,24779.6,1.013932201309217,3.186644061257539,,"{'entryA': 24778.58606779869, 'entryB': 24782.963355938744}",form1,True,"entryA,entryB","24778.586,24782.963",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24778.58606779869,24700.0,CE,,,,,,,,
2025-09-05 09:46:00+05:30,GREEN,24778.58606779869,24786.15,24772.65,24779.6,24778.58606779869,24786.15,24772.65,24779.6,1.013932201309217,3.186644061257539,,"{'entryA': 24778.58606779869, 'entryB': 24782.963355938744}",form1,True,"entryA,entryB","24778.586,24782.963",,entryA,24778.58606779869,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:47:00+05:30,84.0,2025-09-05 09:48:00+05:30,80.9,STOP,-1.0,-50.0
