ha_time,ha_color,cal1,used_formula,candidate_levels,triggered,triggered_levels,strike,side,symbol,note,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 10:29:00+05:30,GREEN,25.15134040450357,form2,"[24720.559800780386, 24729.747300780386]",True,"[24720.559800780386, 24729.747300780386]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:30:00+05:30,GREEN,6.500670202251058,form1,"[24715.98682979775, 24709.669322221496]",True,[24715.98682979775],24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:30:00+05:30,GREEN,6.500670202251058,form1,"[24715.98682979775, 24709.669322221496]",True,[24715.98682979775],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:30:00+05:30,GREEN,6.500670202251058,form1,"[24715.98682979775, 24709.669322221496]",True,[24715.98682979775],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:30:00+05:30,GREEN,6.500670202251058,form1,"[24715.98682979775, 24709.669322221496]",True,[24715.98682979775],24800,CE,NIFTY2590924800CE,,2025-09-05 10:31:00+05:30,60.5,2025-09-05 10:32:00+05:30,55.25,STOP,-1.0,-50.0
2025-09-05 10:30:00+05:30,GREEN,6.500670202251058,form1,"[24715.98682979775, 24709.669322221496]",True,[24715.98682979775],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:31:00+05:30,RED,-6.774664898875926,form1,"[24719.237164898877, 24740.528968866773]",True,[24719.237164898877],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:31:00+05:30,RED,-6.774664898875926,form1,"[24719.237164898877, 24740.528968866773]",True,[24719.237164898877],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:31:00+05:30,RED,-6.774664898875926,form1,"[24719.237164898877, 24740.528968866773]",True,[24719.237164898877],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:31:00+05:30,RED,-6.774664898875926,form1,"[24719.237164898877, 24740.528968866773]",True,[24719.237164898877],24800,PE,NIFTY2590924800PE,,2025-09-05 10:32:00+05:30,151.2,2025-09-05 10:35:00+05:30,146.9,STOP,-1.0,-50.0
2025-09-05 10:31:00+05:30,RED,-6.774664898875926,form1,"[24719.237164898877, 24740.528968866773]",True,[24719.237164898877],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:32:00+05:30,RED,-14.824832449437963,form1,"[24715.84983244944, 24762.442163004816]",True,[24715.84983244944],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:32:00+05:30,RED,-14.824832449437963,form1,"[24715.84983244944, 24762.442163004816]",True,[24715.84983244944],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:32:00+05:30,RED,-14.824832449437963,form1,"[24715.84983244944, 24762.442163004816]",True,[24715.84983244944],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:32:00+05:30,RED,-14.824832449437963,form1,"[24715.84983244944, 24762.442163004816]",True,[24715.84983244944],24800,PE,NIFTY2590924800PE,,2025-09-05 10:33:00+05:30,153.3,2025-09-05 10:34:00+05:30,151.25,STOP,-1.0,-50.0
2025-09-05 10:32:00+05:30,RED,-14.824832449437963,form1,"[24715.84983244944, 24762.442163004816]",True,[24715.84983244944],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:33:00+05:30,RED,-14.17491622471789,form1,"[24708.43741622472, 24752.987152930975]",True,[24708.43741622472],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:33:00+05:30,RED,-14.17491622471789,form1,"[24708.43741622472, 24752.987152930975]",True,[24708.43741622472],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:33:00+05:30,RED,-14.17491622471789,form1,"[24708.43741622472, 24752.987152930975]",True,[24708.43741622472],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:33:00+05:30,RED,-14.17491622471789,form1,"[24708.43741622472, 24752.987152930975]",True,[24708.43741622472],24800,PE,NIFTY2590924800PE,,2025-09-05 10:34:00+05:30,151.25,2025-09-05 10:35:00+05:30,146.9,STOP,-1.0,-50.0
2025-09-05 10:33:00+05:30,RED,-14.17491622471789,form1,"[24708.43741622472, 24752.987152930975]",True,[24708.43741622472],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:34:00+05:30,RED,-10.987458112358581,form1,"[24701.34995811236, 24735.881969322632]",True,[24701.34995811236],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:34:00+05:30,RED,-10.987458112358581,form1,"[24701.34995811236, 24735.881969322632]",True,[24701.34995811236],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:34:00+05:30,RED,-10.987458112358581,form1,"[24701.34995811236, 24735.881969322632]",True,[24701.34995811236],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:34:00+05:30,RED,-10.987458112358581,form1,"[24701.34995811236, 24735.881969322632]",True,[24701.34995811236],24800,PE,NIFTY2590924800PE,,2025-09-05 10:35:00+05:30,146.9,2025-09-05 10:37:00+05:30,145.7,STOP,-1.0,-50.0
2025-09-05 10:34:00+05:30,RED,-10.987458112358581,form1,"[24701.34995811236, 24735.881969322632]",True,[24701.34995811236],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:35:00+05:30,RED,-9.043729056182201,form1,"[24695.856229056182, 24724.27937751847]",True,[24695.856229056182],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:35:00+05:30,RED,-9.043729056182201,form1,"[24695.856229056182, 24724.27937751847]",True,[24695.856229056182],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:35:00+05:30,RED,-9.043729056182201,form1,"[24695.856229056182, 24724.27937751847]",True,[24695.856229056182],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
